"team_value_ratio","avg_pl_value_ratio","a_int_delta","team_h_form_last_3","team_a_form_last_3","form_delta_last_3","team_h_form_last_5","team_a_form_last_5","form_delta_last_5","team_h_form_last_10","team_a_form_last_10","form_delta_last_10","team_h_last_w","team_h_last_dr","team_h_last_de","team_a_last_w","team_a_last_dr","team_a_last_de","team_h_win_perc","team_h_dra_perc","team_h_def_perc","team_a_win_perc","team_a_dra_perc","team_a_def_perc","winner"
0.74,0.91,-1,2,1,1,3,4,-1,10,5,5,3,4,1,4,3,1,0.4,0.2,0.4,0.1,0.3,0.6,"X"
0.42,0.38,2,4,6,-2,7,10,-3,12,10,2,1,4,2,1,12,6,0.5,0.2,0.3,0.5,0,0.5,"A"
7.82,8.12,6,5,4,1,9,5,4,19,7,12,2,1,13,1,4,2,0.91,0.09,0,0.27,0.09,0.64,"H"
1.58,1.84,4,6,3,3,7,5,2,16,12,4,1,5,4,3,1,2,0.73,0.18,0.09,0.55,0.18,0.27,"H"
3.38,2.75,2,3,1,2,6,4,2,10,9,1,2,3,1,4,1,2,0.45,0.18,0.36,0.36,0.27,0.36,"A"
5.11,4.75,0,6,1,5,10,4,6,12,9,3,1,13,7,4,1,2,0.55,0,0.45,0.36,0.27,0.36,"X"
0.98,0.95,-1,1,2,-1,2,2,0,5,7,-2,7,1,2,2,10,1,0.09,0.27,0.64,0.27,0.09,0.64,"A"
0.8,0.75,0,4,2,2,7,5,2,7,10,-3,1,5,2,2,5,1,0.27,0.18,0.55,0.45,0.18,0.36,"A"
1.11,1.27,-2,1,3,-2,4,4,0,6,10,-4,5,1,2,2,1,3,0.09,0.36,0.55,0.27,0.36,0.36,"X"
0.37,0.34,-3,1,6,-5,3,7,-4,9,13,-4,4,1,2,1,5,4,0.36,0.09,0.55,0.55,0.27,0.18,"H"
0.41,0.41,-4,2,3,-1,3,3,0,9,10,-1,3,5,1,2,3,1,0.27,0.36,0.36,0.36,0.18,0.45,"X"
0.35,0.32,-5,1,5,-4,3,9,-6,11,19,-8,4,2,1,1,2,14,0.5,0.17,0.33,0.92,0.08,0,"A"
2.99,3.55,-2,5,2,3,9,6,3,13,7,6,2,1,8,2,6,1,0.5,0.08,0.42,0.25,0.17,0.58,"H"
3.06,3.82,1,4,4,0,6,4,2,12,8,4,2,6,1,1,11,2,0.5,0.25,0.25,0.33,0.08,0.58,"H"
0.19,0.15,-7,3,6,-3,4,8,-4,9,16,-7,3,1,2,1,6,5,0.33,0.25,0.42,0.75,0.17,0.08,"H"
1.26,1.68,1,2,1,1,5,2,3,7,4,3,2,5,1,8,2,1,0.25,0.08,0.67,0.08,0.25,0.67,"A"
0.36,0.31,1,4,2,2,4,4,0,10,8,2,3,1,4,3,4,1,0.25,0.42,0.33,0.42,0.17,0.42,"A"
0.92,1.26,1,3,3,0,5,5,0,10,9,1,1,2,3,1,2,3,0.42,0.25,0.33,0.42,0.08,0.5,"X"
0.83,0.74,1,4,2,2,6,3,3,11,7,4,1,6,2,6,1,3,0.5,0.17,0.33,0.08,0.42,0.5,"H"
1.34,1.6,5,2,1,1,4,3,1,10,9,1,5,1,3,4,1,2,0.33,0.33,0.33,0.25,0.42,0.33,"H"
